country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","10-10-2025 22:00:00",23.023389,72.515201,OZONE,1,49,18
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","10-10-2025 22:00:00",23.041137,72.456691,OZONE,1,65,25
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","10-10-2025 22:00:00",28.3419248,77.319699,OZONE,15,15,15
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","10-10-2025 22:00:00",23.243639,72.68994,NH3,1,1,1
India,Gujarat,Surat,"Science Center, Surat - SMC","10-10-2025 22:00:00",21.170046,72.795405,NO2,7,21,12
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","10-10-2025 22:00:00",29.966942,76.875879,OZONE,21,59,49
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB","10-10-2025 22:00:00",27.9002,76.9938,NH3,3,71,35
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB","10-10-2025 22:00:00",27.9002,76.9938,OZONE,16,16,16
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","10-10-2025 22:00:00",28.360699,76.936090,PM10,85,152,119
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","10-10-2025 22:00:00",28.3153,76.9143,PM10,45,123,86
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","10-10-2025 22:00:00",28.3153,76.9143,NH3,1,4,2
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","10-10-2025 22:00:00",30.943887,76.801991,CO,40,70,48
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","10-10-2025 22:00:00",34.066206,74.819820,OZONE,1,26,8
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","10-10-2025 22:00:00",23.80569,86.44268,NO2,97,209,114
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","10-10-2025 22:00:00",28.4417,77.3217,OZONE,17,19,18
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","10-10-2025 22:00:00",28.422681,77.148944,OZONE,11,77,47
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","10-10-2025 22:00:00",28.4227,77.0667,PM10,133,500,205
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","10-10-2025 22:00:00",28.4227,77.0667,SO2,3,19,12
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","10-10-2025 22:00:00",29.8006,76.4155,SO2,24,26,25
